episode,total_steps,ep_reward,avg_P_supply,avg_hawkishness,avg_uncertainty,ent_coef,elapsed_s
136,65280,-1929.5408,0.2417,0.2775,0.3275,0.0,270.4
137,65760,-12477.8979,0.3192,0.2633,0.2279,0.0,286.8
138,66240,-1532.7296,0.285,0.275,0.4092,0.0,286.9
139,66720,-10059.7712,0.5758,-0.1767,0.3342,0.0,287.1
140,67200,-2911.5582,0.3175,0.0033,0.3142,0.0,287.2
141,67680,-9965.8705,0.4567,-0.3808,0.4458,0.0,287.4
142,68160,-9951.6344,0.7708,-0.5925,0.6142,0.0,287.6
143,68640,-20233.8576,0.7958,-0.9267,0.6767,0.0,287.7
144,69120,-2234.3939,0.275,-0.0042,0.3142,0.0,287.9
145,69600,-18824.9962,0.3183,0.3225,0.3,0.0,288.0
146,70080,-10765.7645,0.6608,-0.8675,0.7358,0.0,307.0
147,70560,-20563.5533,0.65,-0.9267,0.765,0.0,307.2
148,71040,-15756.0723,0.4983,-0.6817,0.5321,0.0,307.3
149,71520,-1782.9235,0.4733,-0.1042,0.3738,0.0,307.5
150,72000,-8664.7689,0.6917,-0.9175,0.7358,0.0,307.6
151,72480,-9980.0535,0.4567,-0.225,0.4192,0.0,307.8
152,72960,-19589.1628,0.2533,0.0292,0.3067,0.0,307.9
153,73440,-14125.033,0.355,0.315,0.3108,0.0,308.1
154,73920,-12200.3749,0.6458,-0.935,0.5958,0.0,325.0
155,74400,-16648.6944,0.7208,-0.9642,0.6175,0.0,325.2
156,74880,-7459.5432,0.3775,0.2767,0.2808,0.0,325.3
157,75360,-12154.6315,0.7683,-0.4658,0.4383,0.0,325.4
158,75840,-13322.7406,0.6542,-0.8175,0.6883,0.0,325.6
159,76320,-2777.0443,0.4267,0.0533,0.3042,0.0,325.7
160,76800,-15240.481,0.6708,-0.9425,0.6158,0.0,325.8
161,77280,-13300.6624,0.6842,-0.4717,0.5933,0.0,326.0
162,77760,-7683.477,0.59,-0.8767,0.4858,0.0,326.1
163,78240,-17725.363,0.7125,-0.86,0.7217,0.0,343.7
164,78720,-16311.4611,0.67,-0.6942,0.5642,0.0,343.8
165,79200,-2557.2667,0.3733,0.3517,0.3567,0.0,343.9
166,79680,-17350.4216,0.76,-0.9508,0.7933,0.0,344.1
167,80160,-12832.0644,0.3567,0.2975,0.2654,0.0,344.2
168,80640,-9669.9563,0.4158,0.2008,0.3671,0.0,344.4
169,81120,-10456.3496,0.5392,-0.2533,0.4654,0.0,344.5
170,81600,-1366.7334,0.3808,0.2033,0.2933,0.0,344.6
171,82080,-6532.7846,0.7683,-0.615,0.4975,0.0,362.2
172,82560,-12792.2258,0.3675,0.3467,0.3192,0.0,362.3
173,83040,-11348.787,0.685,-0.8175,0.5825,0.0,362.4
174,83520,-15639.3726,0.6617,-0.8383,0.6804,0.0,362.6
175,84000,-5899.4983,0.2433,0.285,0.3542,0.0,362.7
176,84480,-9064.4344,0.35,0.3458,0.2063,0.0,362.9
177,84960,-15120.0773,0.4883,-0.1142,0.4717,0.0,363.0
178,85440,-7388.314,0.3525,0.3583,0.2958,0.0,363.2
179,85920,-8624.6822,0.3892,0.0958,0.2725,0.0,363.3
180,86400,-2046.8387,0.3917,0.3325,0.3825,0.0,380.8
181,86880,-12961.8164,0.6075,-0.9075,0.4725,0.0,381.0
182,87360,-14481.6306,0.3692,0.345,0.25,0.0,381.2
183,87840,-14325.7387,0.4158,0.3658,0.3467,0.0,381.3
