episode,total_steps,ep_reward,avg_P_supply,avg_hawkishness,avg_uncertainty,ent_coef,elapsed_s
170,81600,-1814.6124,0.2124,-0.0475,0.1407,0.0,230.2
171,82080,-7562.2464,0.1655,-0.0996,0.1324,0.0,241.8
172,82560,-15629.0464,0.1856,-0.1021,0.1418,0.0,241.9
173,83040,-10470.1475,0.1886,-0.0808,0.14,0.0,242.0
174,83520,-15271.7379,0.1957,-0.0856,0.1338,0.0,242.1
175,84000,-5662.5952,0.0997,-0.1986,0.1067,0.0,242.2
176,84480,-12133.6391,0.2237,-0.0469,0.1509,0.0,242.3
177,84960,-10899.5087,0.1593,-0.1372,0.1291,0.0,242.4
178,85440,-5936.3147,0.1008,-0.2006,0.1048,0.0,242.5
179,85920,-13114.6763,0.216,-0.0434,0.1499,0.0,242.6
180,86400,-1746.8526,0.0985,-0.1969,0.104,0.0,254.7
181,86880,-14008.9572,0.1903,-0.0844,0.1439,0.0,254.8
182,87360,-12642.4964,0.0988,-0.1979,0.0994,0.0,254.9
183,87840,-14726.3236,0.1016,-0.1906,0.1057,0.0,255.0
184,88320,-19828.3401,0.1046,-0.203,0.0962,0.0,255.1
185,88800,-1818.3675,0.1026,-0.2048,0.1029,0.0,255.1
186,89280,-7500.2288,0.0997,-0.2031,0.1052,0.0,255.2
187,89760,-13895.5194,0.0998,-0.1885,0.0982,0.0,255.3
188,90240,-7055.9339,0.0931,-0.1883,0.1029,0.0,267.3
189,90720,-10999.5468,0.2028,-0.0732,0.1394,0.0,267.4
190,91200,-12429.2618,0.1683,-0.1221,0.1282,0.0,267.5
191,91680,-11136.2585,0.2612,-0.0002,0.1656,0.0,267.6
192,92160,-18244.7326,0.2163,-0.0465,0.1522,0.0,267.7
193,92640,-12938.4628,0.1006,-0.2014,0.0961,0.0,267.8
194,93120,-11954.1921,0.2595,0.0082,0.1566,0.0,267.8
195,93600,-14503.5863,0.101,-0.1994,0.0996,0.0,267.9
196,94080,-12053.2969,0.2619,-0.0001,0.1711,0.0,268.0
197,94560,-7673.3234,0.2309,-0.0337,0.1487,0.0,280.2
198,95040,-9996.3274,0.0981,-0.1976,0.0989,0.0,280.3
199,95520,-6176.8159,0.0955,-0.1928,0.107,0.0,280.4
200,96000,-12943.3161,0.1701,-0.1179,0.1276,0.0,280.5
