episode,total_steps,ep_reward,avg_P_supply,avg_hawkishness,avg_uncertainty,ent_coef,elapsed_s
168,80640,-8218.4149,0.0,0.0,0.0,0.0,340.1
169,81120,-10127.0861,0.0,0.0,0.0,0.0,340.2
170,81600,-1413.1008,0.0,0.0,0.0,0.0,340.3
171,82080,-6601.3706,0.0,0.0,0.0,0.0,357.2
172,82560,-12650.0792,0.0,0.0,0.0,0.0,357.3
173,83040,-11537.8813,0.0,0.0,0.0,0.0,357.5
174,83520,-15640.1856,0.0,0.0,0.0,0.0,357.6
175,84000,-5897.5441,0.0,0.0,0.0,0.0,357.7
176,84480,-9550.1366,0.0,0.0,0.0,0.0,357.8
177,84960,-17524.0908,0.0,0.0,0.0,0.0,357.9
178,85440,-7205.1549,0.0,0.0,0.0,0.0,358.0
179,85920,-8633.9136,0.0,0.0,0.0,0.0,358.1
180,86400,-2046.7388,0.0,0.0,0.0,0.0,374.1
181,86880,-12779.0403,0.0,0.0,0.0,0.0,374.2
182,87360,-13124.8989,0.0,0.0,0.0,0.0,374.4
183,87840,-14325.8324,0.0,0.0,0.0,0.0,374.5
184,88320,-20809.9701,0.0,0.0,0.0,0.0,374.6
185,88800,-2537.1866,0.0,0.0,0.0,0.0,374.7
186,89280,-7888.2516,0.0,0.0,0.0,0.0,374.8
187,89760,-12682.9377,0.0,0.0,0.0,0.0,374.9
188,90240,-6439.7698,0.0,0.0,0.0,0.0,390.4
189,90720,-12267.4884,0.0,0.0,0.0,0.0,390.5
190,91200,-12935.7051,0.0,0.0,0.0,0.0,390.6
191,91680,-8538.5349,0.0,0.0,0.0,0.0,390.7
192,92160,-21541.1599,0.0,0.0,0.0,0.0,390.8
193,92640,-13240.0599,0.0,0.0,0.0,0.0,390.9
194,93120,-14409.654,0.0,0.0,0.0,0.0,391.0
195,93600,-11549.9617,0.0,0.0,0.0,0.0,391.1
196,94080,-11942.6036,0.0,0.0,0.0,0.0,391.2
197,94560,-6717.9728,0.0,0.0,0.0,0.0,406.7
198,95040,-9817.5542,0.0,0.0,0.0,0.0,406.9
199,95520,-6349.1417,0.0,0.0,0.0,0.0,407.0
200,96000,-10348.8101,0.0,0.0,0.0,0.0,407.1
201,96480,-6324.8146,0.0,0.0,0.0,0.0,407.2
202,96960,-7456.6708,0.0,0.0,0.0,0.0,407.3
203,97440,-13415.9369,0.0,0.0,0.0,0.0,407.4
204,97920,-8692.909,0.0,0.0,0.0,0.0,407.5
205,98400,-16843.8868,0.0,0.0,0.0,0.0,423.4
206,98880,-16006.225,0.0,0.0,0.0,0.0,423.5
207,99360,-2414.2971,0.0,0.0,0.0,0.0,423.7
208,99840,-8056.4138,0.0,0.0,0.0,0.0,423.8
209,100320,-18084.4391,0.0,0.0,0.0,0.0,424.0
210,100800,-1633.6029,0.0,0.0,0.0,0.0,424.1
211,101280,-7050.5063,0.0,0.0,0.0,0.0,424.3
212,101760,-6172.4425,0.0,0.0,0.0,0.0,424.4
213,102240,-13941.066,0.0,0.0,0.0,0.0,424.5
214,102720,-8584.5083,0.0,0.0,0.0,0.0,443.4
215,103200,-16037.0735,0.0,0.0,0.0,0.0,443.5
216,103680,-22392.4638,0.0,0.0,0.0,0.0,443.7
217,104160,-8338.3536,0.0,0.0,0.0,0.0,443.8
218,104640,-7207.4786,0.0,0.0,0.0,0.0,443.9
219,105120,-10788.9448,0.0,0.0,0.0,0.0,444.0
220,105600,-14415.906,0.0,0.0,0.0,0.0,444.1
221,106080,-4094.1657,0.0,0.0,0.0,0.0,444.2
222,106560,-6445.3669,0.0,0.0,0.0,0.0,460.2
223,107040,-18442.6871,0.0,0.0,0.0,0.0,460.3
224,107520,-13899.249,0.0,0.0,0.0,0.0,460.4
225,108000,-11736.7345,0.0,0.0,0.0,0.0,460.6
226,108480,-10456.2391,0.0,0.0,0.0,0.0,460.7
227,108960,-11787.7868,0.0,0.0,0.0,0.0,460.8
228,109440,-15740.0474,0.0,0.0,0.0,0.0,460.9
229,109920,-3754.0009,0.0,0.0,0.0,0.0,461.1
230,110400,-5868.3443,0.0,0.0,0.0,0.0,461.2
231,110880,-18176.8526,0.0,0.0,0.0,0.0,477.2
232,111360,-8336.9659,0.0,0.0,0.0,0.0,477.3
233,111840,-14098.1063,0.0,0.0,0.0,0.0,477.4
234,112320,-5637.7651,0.0,0.0,0.0,0.0,477.5
235,112800,-19595.4012,0.0,0.0,0.0,0.0,477.6
236,113280,-10201.1433,0.0,0.0,0.0,0.0,477.7
237,113760,-6469.5437,0.0,0.0,0.0,0.0,477.8
238,114240,-19424.2415,0.0,0.0,0.0,0.0,477.9
239,114720,-10691.1451,0.0,0.0,0.0,0.0,496.1
240,115200,-10500.0213,0.0,0.0,0.0,0.0,496.3
241,115680,-8018.8195,0.0,0.0,0.0,0.0,496.4
242,116160,-8982.4983,0.0,0.0,0.0,0.0,496.6
243,116640,-9898.4391,0.0,0.0,0.0,0.0,496.7
244,117120,-14439.1619,0.0,0.0,0.0,0.0,496.8
245,117600,-8922.6646,0.0,0.0,0.0,0.0,496.9
246,118080,-7632.1946,0.0,0.0,0.0,0.0,497.1
247,118560,-6046.4412,0.0,0.0,0.0,0.0,497.2
248,119040,-9307.9548,0.0,0.0,0.0,0.0,515.8
249,119520,-6052.2628,0.0,0.0,0.0,0.0,515.9
250,120000,-17661.6081,0.0,0.0,0.0,0.0,516.0
251,120480,-14748.3559,0.0,0.0,0.0,0.0,516.1
252,120960,-8336.327,0.0,0.0,0.0,0.0,516.3
253,121440,-14768.6239,0.0,0.0,0.0,0.0,516.4
254,121920,-17739.9761,0.0,0.0,0.0,0.0,516.5
255,122400,-12306.3541,0.0,0.0,0.0,0.0,516.7
256,122880,-10567.8923,0.0,0.0,0.0,0.0,516.8
257,123360,-10227.8482,0.0,0.0,0.0,0.0,534.4
258,123840,-13172.7626,0.0,0.0,0.0,0.0,534.6
259,124320,-6028.8193,0.0,0.0,0.0,0.0,534.7
260,124800,-9302.4296,0.0,0.0,0.0,0.0,534.8
261,125280,-13311.0406,0.0,0.0,0.0,0.0,535.0
262,125760,-10276.6808,0.0,0.0,0.0,0.0,535.1
263,126240,-8412.7049,0.0,0.0,0.0,0.0,535.2
264,126720,-5667.3241,0.0,0.0,0.0,0.0,535.3
265,127200,-6505.8468,0.0,0.0,0.0,0.0,555.4
266,127680,-14187.8342,0.0,0.0,0.0,0.0,555.6
267,128160,-9954.6684,0.0,0.0,0.0,0.0,555.7
268,128640,-10372.5319,0.0,0.0,0.0,0.0,555.8
269,129120,-8556.39,0.0,0.0,0.0,0.0,555.9
270,129600,-15106.1527,0.0,0.0,0.0,0.0,556.0
271,130080,-10622.711,0.0,0.0,0.0,0.0,556.1
272,130560,-12312.8508,0.0,0.0,0.0,0.0,556.2
273,131040,-18020.8525,0.0,0.0,0.0,0.0,556.3
274,131520,-8741.5998,0.0,0.0,0.0,0.0,572.4
275,132000,-15158.1141,0.0,0.0,0.0,0.0,572.5
276,132480,-8929.9246,0.0,0.0,0.0,0.0,572.6
277,132960,-11212.2833,0.0,0.0,0.0,0.0,572.7
278,133440,-10720.1612,0.0,0.0,0.0,0.0,572.8
279,133920,-13553.2445,0.0,0.0,0.0,0.0,573.0
280,134400,-8339.5159,0.0,0.0,0.0,0.0,573.1
281,134880,-6215.2594,0.0,0.0,0.0,0.0,573.2
282,135360,-10498.2529,0.0,0.0,0.0,0.0,588.2
283,135840,-6598.5946,0.0,0.0,0.0,0.0,588.3
284,136320,-11383.3319,0.0,0.0,0.0,0.0,588.4
285,136800,-15443.8815,0.0,0.0,0.0,0.0,588.5
286,137280,-9567.2009,0.0,0.0,0.0,0.0,588.6
287,137760,-18678.7647,0.0,0.0,0.0,0.0,588.7
288,138240,-17155.0907,0.0,0.0,0.0,0.0,588.8
289,138720,-4544.8545,0.0,0.0,0.0,0.0,588.9
290,139200,-5848.1828,0.0,0.0,0.0,0.0,589.0
291,139680,-13489.6431,0.0,0.0,0.0,0.0,606.2
292,140160,-17222.1907,0.0,0.0,0.0,0.0,606.3
293,140640,-12452.9409,0.0,0.0,0.0,0.0,606.4
294,141120,-9131.4608,0.0,0.0,0.0,0.0,606.5
295,141600,-14424.5859,0.0,0.0,0.0,0.0,606.6
296,142080,-11112.0508,0.0,0.0,0.0,0.0,606.7
297,142560,-11174.6416,0.0,0.0,0.0,0.0,606.8
298,143040,-6472.6218,0.0,0.0,0.0,0.0,606.9
299,143520,-6049.6768,0.0,0.0,0.0,0.0,622.3
300,144000,-25121.7726,0.0,0.0,0.0,0.0,622.4
301,144480,-6598.9746,0.0,0.0,0.0,0.0,622.5
302,144960,-12652.4718,0.0,0.0,0.0,0.0,622.6
303,145440,-6789.1301,0.0,0.0,0.0,0.0,622.7
